finding_type,file_a,file_b,geographic_coverage,evidence
matching normalized filename and similar aspect ratio (review visually),Alaska in United States (US50) (+grid) (W3).svg,Alaska in United States (US50) (-grid) (W3).svg,the united states,shared normalized name key “alaska grid in states united us50 w3”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Algeria location map (+relief).svg,Algeria relief location map.svg,algeria,shared normalized name key “algeria location relief”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Argentina Israel Locator.svg,Israel Argentina Locator.svg,israel,shared normalized name key “argentina israel locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Asia Islands (Raja Ampat) locator map.svg,"Raja Ampat locator map (blank, with Asia Islands).svg",indonesia,shared normalized name key “ampat asia islands locator raja”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Australia on globe (Christmas Island special) (Southeast Asia centered).svg,Australia on the globe (Christmas Island special) (Southeast Asia centered).svg,australia,shared normalized name key “asia australia centered christmas globe island on southeast special”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Azerbaijan (orthographic projection).svg,Azerbaijan orthographic projection.svg,azerbaijan,shared normalized name key “azerbaijan orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Azuay in Ecuador (+Galapagos).svg,Azuay in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “azuay ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Belarus Georgia locator.svg,Georgia Belarus Locator.svg,belarus,shared normalized name key “belarus georgia locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Binh Tan in Ho Chi Minh City.svg,Tan Binh in Ho Chi Minh City.svg,vietnam,shared normalized name key “binh chi city ho in minh tan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Blank Europe Map.svg,Europe Map.svg,europe,shared normalized name key “europe”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Blank map of Canada.svg,Canada blank map.svg,canada,shared normalized name key “canada”; relative aspect-ratio difference 0.4%
matching normalized filename and similar aspect ratio (review visually),Blank map of china.svg,China blank map.svg,china,shared normalized name key “china”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Blank map of china.svg,China-blank.svg,china,shared normalized name key “china”; relative aspect-ratio difference 4.0%
matching normalized filename and similar aspect ratio (review visually),China blank map.svg,China-blank.svg,china,shared normalized name key “china”; relative aspect-ratio difference 4.0%
matching normalized filename and similar aspect ratio (review visually),"Blank Map of Communes, France.svg","Blank Map of France, with Communes.svg",france,shared normalized name key “communes france”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Blank map of Japan.svg,Map of Japan.svg,japan,shared normalized name key “japan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Blank map of Mexico.svg,Map of Mexico (blank).svg,mexico,shared normalized name key “mexico”; relative aspect-ratio difference 6.0%
matching normalized filename and similar aspect ratio (review visually),Blank map of Mexico.svg,Mexico blank.svg,mexico,shared normalized name key “mexico”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Blank map of Mexico.svg,Mexico Map.svg,mexico,shared normalized name key “mexico”; relative aspect-ratio difference 1.3%
matching normalized filename and similar aspect ratio (review visually),Map of Mexico (blank).svg,Mexico blank.svg,mexico,shared normalized name key “mexico”; relative aspect-ratio difference 6.0%
matching normalized filename and similar aspect ratio (review visually),Map of Mexico (blank).svg,Mexico Map.svg,mexico,shared normalized name key “mexico”; relative aspect-ratio difference 7.2%
matching normalized filename and similar aspect ratio (review visually),Mexico blank.svg,Mexico Map.svg,mexico,shared normalized name key “mexico”; relative aspect-ratio difference 1.4%
matching normalized filename and similar aspect ratio (review visually),Blank map of South America.svg,South America.svg,south america,shared normalized name key “america south”; relative aspect-ratio difference 3.4%
matching normalized filename and similar aspect ratio (review visually),South America blank map.svg,South America.svg,south america,shared normalized name key “america south”; relative aspect-ratio difference 6.0%
matching normalized filename and similar aspect ratio (review visually),Blank map of the Philippines (Provinces).svg,Provinces of the Philippines.svg,the philippines,shared normalized name key “philippines provinces”; relative aspect-ratio difference 7.8%
matching normalized filename and similar aspect ratio (review visually),Blank US map borders.svg,Blank US Map with borders.svg,the united states,shared normalized name key “borders us”; relative aspect-ratio difference 7.2%
matching normalized filename and similar aspect ratio (review visually),Blank USA map with counties.svg,USA Counties.svg,the united states,shared normalized name key “counties usa”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Blank World Map.svg,World.svg,the world with cylindrical projection,shared normalized name key “world”; relative aspect-ratio difference 1.2%
matching normalized filename and similar aspect ratio (review visually),BlankMap-Philippines.svg,Map of the Philippines.svg,the philippines,shared normalized name key “philippines”; relative aspect-ratio difference 5.4%
matching normalized filename and similar aspect ratio (review visually),BlankMap-World (EU as a single entity).svg,World map (EU as a single entity).svg,the world with national borders,shared normalized name key “as entity eu single world”; relative aspect-ratio difference 1.3%
matching normalized filename and similar aspect ratio (review visually),World map blank.svg,World Map Blank.svg,the world with national borders,shared normalized name key “world”; relative aspect-ratio difference 2.0%
matching normalized filename and similar aspect ratio (review visually),Bolivar in Ecuador (+Galapagos).svg,Bolivar in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “bolivar ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Brazil Israel Locator.svg,Israel Brazil Locator.svg,israel,shared normalized name key “brazil israel locator”; relative aspect-ratio difference 3.1%
matching normalized filename and similar aspect ratio (review visually),Canar in Ecuador (+Galapagos).svg,Canar in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “canar ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Carchi in Ecuador (+Galapagos).svg,Carchi in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “carchi ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Ceelafweyn district.svg,Ceelafweyn District.svg,somaliland,shared normalized name key “ceelafweyn district”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Center of America.svg,SVG map Center of America.svg,the americas,shared normalized name key “america center”; relative aspect-ratio difference 6.1%
matching normalized filename and similar aspect ratio (review visually),Central America blank map.svg,Central America.svg,central america,shared normalized name key “america central”; relative aspect-ratio difference 2.9%
matching normalized filename and similar aspect ratio (review visually),Chimborazo in Ecuador (+Galapagos).svg,Chimborazo in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “chimborazo ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),China Chongqing.svg,Map of China Chongqing.svg,china,shared normalized name key “china chongqing”; relative aspect-ratio difference 5.1%
matching normalized filename and similar aspect ratio (review visually),China in Asia (de-facto) (relief).svg,China in Asia (relief) (de-facto).svg,china,shared normalized name key “asia china de facto in relief”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China India locator.svg,India China locator.svg,india,shared normalized name key “china india locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China Tibet.svg,Map of China Tibet.svg,china,shared normalized name key “china tibet”; relative aspect-ratio difference 5.1%
matching normalized filename and similar aspect ratio (review visually),China Xinjiang.svg,Map of China Xinjiang.svg,china,shared normalized name key “china xinjiang”; relative aspect-ratio difference 5.1%
matching normalized filename and similar aspect ratio (review visually),China-East Germany Locator.svg,East Germany–China Locator.svg,countries (world location map scheme),shared normalized name key “china east germany locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China–Czechoslovakia Locator.svg,Czechoslovakia–China Locator.svg,countries (world location map scheme),shared normalized name key “china czechoslovakia locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),China–Slovakia Locator.svg,Slovakia–China Locator.svg,countries (world location map scheme),shared normalized name key “china locator slovakia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Christmas Island in Australia (-mini map).svg,Christmas Island in Australia (mini map).svg,australia,shared normalized name key “australia christmas in island mini”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Colombia Bogotá location map.png,Colombia Bogotá location map.svg,colombia,shared normalized name key “bogot colombia location”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Colombia map.svg,Colombia svg.svg,colombia,shared normalized name key “colombia”; relative aspect-ratio difference 6.8%
matching normalized filename and similar aspect ratio (review visually),Communes of France ending with -a.svg,Communes of France ending with -é.svg,france,shared normalized name key “communes ending france”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Cotopaxi in Ecuador (+Galapagos).svg,Cotopaxi in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “cotopaxi ecuador galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Czech Republic location map blank.svg,Czech Republic location map.svg,the czech republic,shared normalized name key “czech location republic”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Czechoslovakia–Vietnam Locator.svg,Vietnam–Czechoslovakia Locator.svg,countries (world location map scheme),shared normalized name key “czechoslovakia locator vietnam”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),El Oro in Ecuador (+Galapagos).svg,El Oro in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador el galapagos in oro”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Esmeraldas in Ecuador (+Galapagos).svg,Esmeraldas in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador esmeraldas galapagos in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Eswatini Taiwan Locator.svg,Eswatini–Taiwan Locator.svg,the republic of china,shared normalized name key “eswatini locator taiwan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),EU-Greece (orthographic projection).png,EU-Greece (orthographic projection).svg,greece,shared normalized name key “eu greece orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Europe (orthographic projection).svg,Europe-Blank (orthographic projection).svg,europe,shared normalized name key “europe orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Europe Armenia.svg,Europe-Armenia.svg,armenia,shared normalized name key “armenia europe”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Falkland Islands - The Swan Islands.svg,Swan Islands - Falkland Islands.svg,the united kingdom,shared normalized name key “falkland islands islands swan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Falkland Islands - The Tyssen Islands.svg,Falkland Islands - Tyssen Islands.svg,the united kingdom,shared normalized name key “falkland islands islands tyssen”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),France Georgia locator.svg,Georgia France Locator.svg,france,shared normalized name key “france georgia locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Geologic map Armorican Massif FR.svg,Geologic map of Armorican Massif FR.png,armorican massif,shared normalized name key “armorican fr geologic massif”; relative aspect-ratio difference 1.0%
matching normalized filename and similar aspect ratio (review visually),Georgia (orthographic projection).svg,Georgia (orthographic--projection).svg,georgia,shared normalized name key “georgia orthographic projection”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Georgia Lithuania locator.svg,Lithuania Georgia Locator.svg,lithuania,shared normalized name key “georgia lithuania locator”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Georgia Spain Locator.svg,Spain Georgia Locator.svg,spain,shared normalized name key “georgia locator spain”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Georgia–Mongolia Locator.svg,Mongolia–Georgia Locator.svg,countries (world location map scheme),shared normalized name key “georgia locator mongolia”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Germany Spain Locator.svg,Spain Germany Locator.svg,spain,shared normalized name key “germany locator spain”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Ghana in its region.png,Ghana in its region.svg,ghana,shared normalized name key “ghana in its region”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Gilgit-Baltistan in Pakistan (de-facto + glacier claims) (disputed hatched).svg,Gilgit-Baltistan in Pakistan (de-facto + glacier claims)) (disputed hatched).svg,pakistan,shared normalized name key “baltistan claims de disputed facto gilgit glacier hatched in pakistan”; relative aspect-ratio difference 0.0%
matching normalized filename and similar aspect ratio (review visually),Guayas in Ecuador (+Galapagos).svg,Guayas in Ecuador (-Galapagos).svg,ecuador,shared normalized name key “ecuador galapagos guayas in”; relative aspect-ratio difference 0.1%
matching normalized filename and similar aspect ratio (review visually),Hawaii in United States (US50) (+grid) (W3).svg,Hawaii in United States (US50) (-grid) (W3).svg,the united states,shared normalized name key “grid hawaii in states united us50 w3”; relative aspect-ratio difference 0.0%
