file,geographic_coverage,possible_issue,evidence_categories,mime_type,thumbnail_http_status,commons_file_page
2015 Critérium du Dauphiné map.svg,regions of France,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:2015_Crit%C3%A9rium_du_Dauphin%C3%A9_map.svg
51.00.00 Bali.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.00.00_Bali.svg
51.01.00 Bali Jembrana.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.01.00_Bali_Jembrana.svg
51.02.00 Bali Tabanan.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.02.00_Bali_Tabanan.svg
51.03.00 Bali Badung.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.03.00_Bali_Badung.svg
51.04.00 Bali Gianyar.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.04.00_Bali_Gianyar.svg
51.05.00 Bali Klungkung.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.05.00_Bali_Klungkung.svg
51.06.00 Bali Bangli.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.06.00_Bali_Bangli.svg
51.07.00 Bali Karangasem.svg,Karangasem Regency,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.07.00_Bali_Karangasem.svg
51.08.00 Bali Buleleng.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.08.00_Bali_Buleleng.svg
51.71.00 Bali Denpasar.svg,regencies of Bali,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:51.71.00_Bali_Denpasar.svg
A large blank world map with oceans marked in blue mapamundi en blanco.svg,the world without Antarctica,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:A_large_blank_world_map_with_oceans_marked_in_blue_mapamundi_en_blanco.svg
A large blank world map with oceans marked in blue planisferio en blanco.svg,the world with national borders,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:A_large_blank_world_map_with_oceans_marked_in_blue_planisferio_en_blanco.svg
Abaúj-Torna vármegye in Hungary.svg,"Abaúj-Torna vármegye, Hungary, the Kingdom of Hungary",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Hungary,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Aba%C3%BAj-Torna_v%C3%A1rmegye_in_Hungary.svg
Abisko national park map-fr.svg,Sweden,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abisko_national_park_map-fr.svg
Abkhazia in Asia (-mini map -rivers).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(-mini_map_-rivers).svg
Abkhazia in Asia (relief) (-mini map).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(relief)_(-mini_map).svg
Abkhazia in Asia (relief) (special marker) (-mini marker).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(relief)_(special_marker)_(-mini_marker).svg
Abkhazia in Asia (relief).svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia_(relief).svg
Abkhazia in Asia.svg,"Abkhazia, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Asia.svg
Abkhazia in Europe (blue marble) (de-facto) (-mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(blue_marble)_(de-facto)_(-mini_map).svg
Abkhazia in Europe (de-facto) (-rivers -mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(de-facto)_(-rivers_-mini_map).svg
Abkhazia in Europe (de-facto).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(de-facto).svg
Abkhazia in Europe (natural) (-mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(natural)_(-mini_map).svg
Abkhazia in Europe (natural).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(natural).svg
Abkhazia in Europe (relief) (-mini map).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(relief)_(-mini_map).svg
Abkhazia in Europe (relief).svg,"Abkhazia, Europe",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Europe_(relief).svg
Abkhazia in Georgia (Georgian view).svg,"Abkhazia, Georgia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_Georgia_(Georgian_view).svg
Abkhazia in its region (less biased).svg,"Abkhazia, its region (less biased), Georgia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_in_its_region_(less_biased).svg
Abkhazia map-es.svg,Abkhazia,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abkhazia_map-es.svg
Abruzzo in Italy.svg,"Abruzzo, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Abruzzo_in_Italy.svg
Adazi in Latvia.svg,"Adazi, Latvia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Latvia,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Adazi_in_Latvia.svg
Adelie Land in Antarctica.svg,"Adelie Land, Antarctica",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Adelie_Land_in_Antarctica.svg
Administrative areas of New Brunswick topographic map-blank.svg,North America,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Administrative_areas_of_New_Brunswick_topographic_map-blank.svg
Administrative areas of New Brunswick with First Nations land topographic map-blank.svg,North America,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Administrative_areas_of_New_Brunswick_with_First_Nations_land_topographic_map-blank.svg
Afghanistan in Asia (-mini map -rivers).svg,"Afghanistan, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_Asia_(-mini_map_-rivers).svg
Afghanistan in Asia.svg,"Afghanistan, Asia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_Asia.svg
Afghanistan in its region.svg,Afghanistan,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_its_region.svg
Afghanistan in the world (W3).svg,"Afghanistan, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Afghanistan_in_the_world_(W3).svg
Africa in the world (grey) (W3).svg,"Africa, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(grey)_(W3).svg
Africa in the World (grey).svg,"Africa, the World",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_World_(grey).svg
Africa in the world (red) (W3).svg,"Africa, the world",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(red)_(W3).svg
Africa in the world (yellow) (W3).svg,"Africa, the world (yellow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(yellow)_(W3).svg
Africa in the World (yellow).svg,"Africa, the World (yellow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Africa_in_the_World_(yellow).svg
